id,title,journal,year,source_class,identifier,id_kind,verified,retrieval_status,mechanism_nodes,cohorts,has_abstract,abstract_source,link,caveat
epmc_med_10584138,[Cytoprotection with amifostine in radiotherapy or radio-chemotherapy of head and neck tumors].,Strahlentherapie und Onkologie : Organ der Deutschen Rontgengesellschaft ... [et al],1999,clinical_trial,10584138,pmid,True,POINTER_ONLY,oxidative_stress_redox,head_neck,True,,https://europepmc.org/abstract/MED/10584138,caveat:L1_literature_index;not_medical_advice;indexed_presence_is_not_efficacy;correlation_is_not_causation
epmc_med_10660092,"Inhibition of human carcinoma cell growth and DNA synthesis by silibinin, an active constituent of milk thistle: comparison with silymarin",Cancer Letters,1999,observational,10.1016/s0304-3835(99)00276-1,doi,True,POINTER_ONLY,oxidative_stress_redox,,True,,https://doi.org/10.1016/s0304-3835(99)00276-1,caveat:L1_literature_index;not_medical_advice;indexed_presence_is_not_efficacy;correlation_is_not_causation
epmc_med_10706635,Structures of recombinant human and mouse NAD(P)H:quinone oxidoreductases: Species comparison and structural changes with substrate binding and release,Proceedings of the National Academy of Sciences,2000,observational,10.1073/pnas.97.7.3177,doi,True,POINTER_ONLY,oxidative_stress_redox,,True,,https://doi.org/10.1073/pnas.97.7.3177,caveat:L1_literature_index;not_medical_advice;indexed_presence_is_not_efficacy;correlation_is_not_causation
epmc_med_10769655,Fate of the antimetastatic ruthenium complex ImH [trans-RuCl4(DMSO)Im] after acute i.v. treatment in mice.,Anticancer research,2000,observational,10769655,pmid,True,POINTER_ONLY,electron_transport_oxphos|herb_drug_interaction_cyp_pgp,,True,,https://europepmc.org/abstract/MED/10769655,caveat:L1_literature_index;not_medical_advice;indexed_presence_is_not_efficacy;correlation_is_not_causation
epmc_med_10881054,"Amifostine (WR-2721), a cytoprotective agent during high-dose cyclophosphamide treatment of non-Hodgkin's lymphomas: a phase II study",Brazilian Journal of Medical and Biological Research,2000,clinical_trial,10.1590/s0100-879x2000000700009,doi,True,POINTER_ONLY,,lymphoma,True,,https://doi.org/10.1590/s0100-879x2000000700009,caveat:L1_literature_index;not_medical_advice;indexed_presence_is_not_efficacy;correlation_is_not_causation
epmc_med_11161394,A randomized trial of amifostine in patients with high-dose VIC chemotherapy plus autologous blood stem cell transplanation*,British Journal of Cancer,2001,rct,10.1054/bjoc.2000.1611,doi,True,POINTER_ONLY,,,True,,https://doi.org/10.1054/bjoc.2000.1611,caveat:L1_literature_index;not_medical_advice;indexed_presence_is_not_efficacy;correlation_is_not_causation
epmc_med_11357836,"Society of general internal medicine 24 th annual meeting San Diego, California May 2–5, 2001",Journal of General Internal Medicine,2001,international_literature,10.1046/j.1525-1497.2001.0160s1023.x,doi,True,POINTER_ONLY,,,False,,https://doi.org/10.1046/j.1525-1497.2001.0160s1023.x,caveat:L1_literature_index;not_medical_advice;indexed_presence_is_not_efficacy;correlation_is_not_causation
epmc_med_11359699,Sphingolipid perturbations as mechanisms for fumonisin carcinogenesis.,Environmental Health Perspectives,2001,observational,10.1289/ehp.01109s2301,doi,True,VERIFIED,cannabinoid_endocannabinoid|immune_checkpoint|oxidative_stress_redox|p53_apoptosis_cell_cycle,,True,,https://doi.org/10.1289/ehp.01109s2301,caveat:L1_literature_index;not_medical_advice;indexed_presence_is_not_efficacy;correlation_is_not_causation
epmc_med_11401762,Examination of the melatonin hypothesis in women exposed at night to EMF or bright light.,Environmental Health Perspectives,2001,clinical_trial,10.1289/ehp.01109501,doi,True,POINTER_ONLY,,breast,True,,https://doi.org/10.1289/ehp.01109501,caveat:L1_literature_index;not_medical_advice;indexed_presence_is_not_efficacy;correlation_is_not_causation
epmc_med_11493373,"Influence of adjuvant chemotherapy with cyclophosphamide, methotrexate and 5-fluorouracil on plasma melatonin and chosen hormones in breast cancer premenopausal patients",Journal of Clinical Pharmacy and Therapeutics,2001,observational,10.1046/j.1365-2710.2001.00356.x,doi,True,POINTER_ONLY,,breast,True,,https://doi.org/10.1046/j.1365-2710.2001.00356.x,caveat:L1_literature_index;not_medical_advice;indexed_presence_is_not_efficacy;correlation_is_not_causation
epmc_med_11706783,Relationship between thermal parameters and tumor response in hyperthermia combined with radiation therapy,International Journal of Clinical Oncology,2001,clinical_trial,10.1007/pl00012096,doi,True,POINTER_ONLY,perfusion_vascular_hypoxia,,True,,https://doi.org/10.1007/pl00012096,caveat:L1_literature_index;not_medical_advice;indexed_presence_is_not_efficacy;correlation_is_not_causation
epmc_med_11819800,Preliminary results of Thymosin-a1 versus interferon-α-treatment in patients with HBeAg negative and serum HBV DNA positive chronic hepatitis B,World Journal of Gastroenterology,2001,rct,10.3748/wjg.v7.i3.407,doi,True,POINTER_ONLY,,,False,,https://doi.org/10.3748/wjg.v7.i3.407,caveat:L1_literature_index;not_medical_advice;indexed_presence_is_not_efficacy;correlation_is_not_causation
epmc_med_11819801,A randomized controlled clinical trial on the treatment of Thymosin a1 versus interferon-a in patients with hepatitis B,World Journal of Gastroenterology,2001,rct,10.3748/wjg.v7.i3.411,doi,True,POINTER_ONLY,,,False,,https://doi.org/10.3748/wjg.v7.i3.411,caveat:L1_literature_index;not_medical_advice;indexed_presence_is_not_efficacy;correlation_is_not_causation
epmc_med_11960676,Dichloroacetate toxicokinetics and disruption of tyrosine catabolism in B6C3F1 mice: dose–response relationships and age as a modifying factor,Toxicology,2002,observational,10.1016/s0300-483x(02)00034-3,doi,True,POINTER_ONLY,oxidative_stress_redox,,True,,https://doi.org/10.1016/s0300-483x(02)00034-3,caveat:L1_literature_index;not_medical_advice;indexed_presence_is_not_efficacy;correlation_is_not_causation
epmc_med_12085218,In vitro and in vivo activity and cross resistance profiles of novel ruthenium (II) organometallic arene complexes in human ovarian cancer,British Journal of Cancer,2002,observational,10.1038/sj.bjc.6600290,doi,True,POINTER_ONLY,dna_damage_parp|immune_checkpoint|oxidative_stress_redox,ovarian,True,,https://doi.org/10.1038/sj.bjc.6600290,caveat:L1_literature_index;not_medical_advice;indexed_presence_is_not_efficacy;correlation_is_not_causation
epmc_med_12085250,Immune changes in patients with advanced breast cancer undergoing chemotherapy with taxanes,British Journal of Cancer,2002,rct,10.1038/sj.bjc.6600347,doi,True,POINTER_ONLY,microtubule_mitosis,breast,True,,https://doi.org/10.1038/sj.bjc.6600347,caveat:L1_literature_index;not_medical_advice;indexed_presence_is_not_efficacy;correlation_is_not_causation
epmc_med_12147443,[Are mitochondria targets of anticancer drugs responsible for apoptosis?].,Annales de biologie clinique,2002,observational,12147443,pmid,True,POINTER_ONLY,oxidative_stress_redox|p53_apoptosis_cell_cycle,,True,,https://europepmc.org/abstract/MED/12147443,caveat:L1_literature_index;not_medical_advice;indexed_presence_is_not_efficacy;correlation_is_not_causation
epmc_med_12177774,Concurrent administration of Docetaxel and Stealth® liposomal doxorubicin with radiotherapy in non-small cell lung cancer : excellent tolerance using subcutaneous amifostine for cytoprotection,British Journal of Cancer,2002,clinical_trial,10.1038/sj.bjc.6600486,doi,True,VERIFIED,,lung,True,,https://doi.org/10.1038/sj.bjc.6600486,caveat:L1_literature_index;not_medical_advice;indexed_presence_is_not_efficacy;correlation_is_not_causation
epmc_med_12181242,"Whole-body hyperthermia (41.8°C) combined with bimonthly oxaliplatin, high-dose leucovorin and 5-fluorouracil 48-hour continuous infusion in pretreated metastatic colorectal cancer:a phase II study",Annals of Oncology,2002,clinical_trial,10.1093/annonc/mdf216,doi,True,POINTER_ONLY,perfusion_vascular_hypoxia,colorectal,True,,https://doi.org/10.1093/annonc/mdf216,caveat:L1_literature_index;not_medical_advice;indexed_presence_is_not_efficacy;correlation_is_not_causation
epmc_med_12618880,Molecular analysis of local relapse in high-risk breast cancer patients: can radiotherapy fractionation and time factors make a difference?,British Journal of Cancer,2003,clinical_trial,10.1038/sj.bjc.6600755,doi,True,POINTER_ONLY,p53_apoptosis_cell_cycle|perfusion_vascular_hypoxia,breast,True,,https://doi.org/10.1038/sj.bjc.6600755,caveat:L1_literature_index;not_medical_advice;indexed_presence_is_not_efficacy;correlation_is_not_causation
epmc_med_12820485,Biomodulation of cancer chemotherapy for metastatic colorectal cancer: a randomized study of weekly low-dose irinotecan alone versus irinotecan plus the oncostatic pineal hormone melatonin in metastatic colorectal cancer patients progressing on 5-fluorouracil-containing combinations.,Anticancer research,2003,rct,12820485,pmid,True,POINTER_ONLY,,colorectal,True,,https://europepmc.org/abstract/MED/12820485,caveat:L1_literature_index;not_medical_advice;indexed_presence_is_not_efficacy;correlation_is_not_causation
epmc_med_12823608,Five years survival in metastatic non‐small cell lung cancer patients treated with chemotherapy alone or chemotherapy and melatonin: a randomized trial,Journal of Pineal Research,2003,rct,10.1034/j.1600-079x.2003.00032.x,doi,True,POINTER_ONLY,,lung,True,,https://doi.org/10.1034/j.1600-079x.2003.00032.x,caveat:L1_literature_index;not_medical_advice;indexed_presence_is_not_efficacy;correlation_is_not_causation
epmc_med_14516206,DNA Interactions of Monofunctional Organometallic Ruthenium(II) Antitumor Complexes in Cell-free Media,Biochemistry,2003,observational,10.1021/bi034933u,doi,True,POINTER_ONLY,,,True,,https://doi.org/10.1021/bi034933u,caveat:L1_literature_index;not_medical_advice;indexed_presence_is_not_efficacy;correlation_is_not_causation
epmc_med_14585550,A phase II trial of reiki for the management of pain in advanced cancer patients,Journal of Pain and Symptom Management,2003,clinical_trial,10.1016/s0885-3924(03)00334-8,doi,True,POINTER_ONLY,,,True,,https://doi.org/10.1016/s0885-3924(03)00334-8,caveat:L1_literature_index;not_medical_advice;indexed_presence_is_not_efficacy;correlation_is_not_causation
epmc_med_14651997,Silibinin down-regulates survivin protein and mRNA expression and causes caspases activation and apoptosis in human bladder transitional-cell papilloma RT4 cells,Biochemical and Biophysical Research Communications,2003,observational,10.1016/j.bbrc.2003.11.038,doi,True,POINTER_ONLY,dna_damage_parp|p53_apoptosis_cell_cycle,bladder,True,,https://doi.org/10.1016/j.bbrc.2003.11.038,caveat:L1_literature_index;not_medical_advice;indexed_presence_is_not_efficacy;correlation_is_not_causation
epmc_med_14723345,Immunomodulatory activity of betulinic acid by producing pro-inflammatory cytokines and activation of macrophages,Archives of Pharmacal Research,2003,observational,10.1007/bf02994763,doi,True,POINTER_ONLY,cannabinoid_endocannabinoid|oxidative_stress_redox|p53_apoptosis_cell_cycle,,True,,https://doi.org/10.1007/bf02994763,caveat:L1_literature_index;not_medical_advice;indexed_presence_is_not_efficacy;correlation_is_not_causation
epmc_med_14742261,"Up-Regulation of the Redox Mediators Thioredoxin and Apurinic/Apyrimidinic Excision (APE)/Ref-1 in Hypoxic Microregions of Invasive Cervical Carcinomas, Mapped Using Multispectral, Wide-Field Fluorescence Image Analysis",The American Journal of Pathology,2004,observational,10.1016/s0002-9440(10)63145-8,doi,True,POINTER_ONLY,oxidative_stress_redox|perfusion_vascular_hypoxia,,True,,https://doi.org/10.1016/s0002-9440(10)63145-8,caveat:L1_literature_index;not_medical_advice;indexed_presence_is_not_efficacy;correlation_is_not_causation
epmc_med_15034754,Cytotoxicity of the organic ruthenium anticancer drug Nami-A is correlated with DNA binding in four different human tumor cell lines,Cancer Chemotherapy and Pharmacology,2004,observational,10.1007/s00280-004-0773-6,doi,True,POINTER_ONLY,dna_damage_parp|electron_transport_oxphos|immune_checkpoint|oxidative_stress_redox,,True,,https://doi.org/10.1007/s00280-004-0773-6,caveat:L1_literature_index;not_medical_advice;indexed_presence_is_not_efficacy;correlation_is_not_causation
epmc_med_15041081,"Differences in the hepatic P450-dependent metabolism of estrogen and tamoxifen in response to treatment of rats with 3,3′-diindolylmethane and its parent compound indole-3-carbinol",Cancer Detection and Prevention,2004,observational,10.1016/j.cdp.2003.11.006,doi,True,POINTER_ONLY,electron_transport_oxphos|oxidative_stress_redox,,True,,https://doi.org/10.1016/j.cdp.2003.11.006,caveat:L1_literature_index;not_medical_advice;indexed_presence_is_not_efficacy;correlation_is_not_causation
epmc_med_15125686,Copper pathways in <i>Plasmodium falciparum</i> infected erythrocytes indicate an efflux role for the copper P-ATPase,Biochemical Journal,2004,observational,10.1042/bj20040335,doi,True,POINTER_ONLY,immune_checkpoint|oxidative_stress_redox,,True,,https://doi.org/10.1042/bj20040335,caveat:L1_literature_index;not_medical_advice;indexed_presence_is_not_efficacy;correlation_is_not_causation
epmc_med_15149825,A comparative study of adduct formation between the anticancer ruthenium(III) compound HInd trans-[RuCl4(Ind)2] and serum proteins,Journal of Inorganic Biochemistry,2004,observational,10.1016/j.jinorgbio.2004.04.002,doi,True,POINTER_ONLY,oxidative_stress_redox,,True,,https://doi.org/10.1016/j.jinorgbio.2004.04.002,caveat:L1_literature_index;not_medical_advice;indexed_presence_is_not_efficacy;correlation_is_not_causation
epmc_med_15204518,"Regional pelvic hyperthermia as an adjunct to chemotherapy (oxaliplatin, folinic acid, 5-fluorouracil) in pre-irradiated patients with locally recurrent rectal cancer: a pilot study",International Journal of Hyperthermia,2004,clinical_trial,10.1080/02656730310001645010,doi,True,VERIFIED,perfusion_vascular_hypoxia,colorectal,True,,https://doi.org/10.1080/02656730310001645010,caveat:L1_literature_index;not_medical_advice;indexed_presence_is_not_efficacy;correlation_is_not_causation
epmc_med_15204528,Whole-body hyperthermia in the scope of von Ardenne's systemic cancer multistep therapy (sCMT) combined with chemotherapy in patients with metastatic colorectal cancer: a phase I/II study,International Journal of Hyperthermia,2004,clinical_trial,10.1080/02656730310001637316,doi,True,VERIFIED,perfusion_vascular_hypoxia,colorectal,True,,https://doi.org/10.1080/02656730310001637316,caveat:L1_literature_index;not_medical_advice;indexed_presence_is_not_efficacy;correlation_is_not_causation
epmc_med_15205607,"Betulinic acid enhances 1α,25-dihydroxyvitamin D3-induced differentiation in human HL-60 promyelocytic leukemia cells",Anti-Cancer Drugs,2004,observational,10.1097/01.cad.0000132237.15427.23,doi,True,POINTER_ONLY,cannabinoid_endocannabinoid|p53_apoptosis_cell_cycle,leukemia,True,,https://doi.org/10.1097/01.cad.0000132237.15427.23,caveat:L1_literature_index;not_medical_advice;indexed_presence_is_not_efficacy;correlation_is_not_causation
epmc_med_15217501,"Cytochrome P450 1A2 (CYP1A2) activity, mammographic density, and oxidative stress: a cross-sectional study",Breast Cancer Research,2004,observational,10.1186/bcr797,doi,True,POINTER_ONLY,electron_transport_oxphos|herb_drug_interaction_cyp_pgp|oxidative_stress_redox,breast,True,,https://doi.org/10.1186/bcr797,caveat:L1_literature_index;not_medical_advice;indexed_presence_is_not_efficacy;correlation_is_not_causation
epmc_med_15229351,Studies of the Isoprenoid-Mediated Inhibition of Mevalonate Synthesis Applied to Cancer Chemotherapy and Chemoprevention,Experimental Biology and Medicine,2004,narrative_review,10.1177/153537020422900701,doi,True,VERIFIED,cannabinoid_endocannabinoid|oxidative_stress_redox|p53_apoptosis_cell_cycle,prostate,True,,https://doi.org/10.1177/153537020422900701,caveat:L1_literature_index;not_medical_advice;indexed_presence_is_not_efficacy;correlation_is_not_causation
epmc_med_15296831,"Regulation of ischemic cell death by the lipoic acid–palladium complex, Poly MVA, in gerbils",Experimental Neurology,2004,observational,10.1016/j.expneurol.2004.05.011,doi,True,POINTER_ONLY,oxidative_stress_redox,,True,,https://doi.org/10.1016/j.expneurol.2004.05.011,caveat:L1_literature_index;not_medical_advice;indexed_presence_is_not_efficacy;correlation_is_not_causation
epmc_med_15314073,Heat Shock Protein 70 Promotes Cell Survival by Inhibiting Lysosomal Membrane Permeabilization,The Journal of Experimental Medicine,2004,observational,10.1084/jem.20040531,doi,True,POINTER_ONLY,electron_transport_oxphos|oxidative_stress_redox|p53_apoptosis_cell_cycle,,True,,https://doi.org/10.1084/jem.20040531,caveat:L1_literature_index;not_medical_advice;indexed_presence_is_not_efficacy;correlation_is_not_causation
epmc_med_15351776,Inhibitory effect of a bitter melon extract on the P‐glycoprotein activity in intestinal Caco‐2 cells,British Journal of Pharmacology,2004,international_literature,10.1038/sj.bjp.0705804,doi,True,POINTER_ONLY,herb_drug_interaction_cyp_pgp,,True,,https://doi.org/10.1038/sj.bjp.0705804,caveat:L1_literature_index;not_medical_advice;indexed_presence_is_not_efficacy;correlation_is_not_causation
epmc_med_15454458,Correct Diffusion Coefficients of Proteins in Fluorescence Correlation Spectroscopy. Application to Tubulin Oligomers Induced by Mg2+ and Paclitaxel,Biophysical Journal,2004,observational,10.1529/biophysj.104.040717,doi,True,POINTER_ONLY,microtubule_mitosis|oxidative_stress_redox,,True,,https://doi.org/10.1529/biophysj.104.040717,caveat:L1_literature_index;not_medical_advice;indexed_presence_is_not_efficacy;correlation_is_not_causation
epmc_med_15464090,Biological evaluation of novel Pt(II) and Pd(II) complexes with pyrazole-containing ligands,European Journal of Pharmacology,2004,observational,10.1016/j.ejphar.2004.08.053,doi,True,POINTER_ONLY,dna_damage_parp|p53_apoptosis_cell_cycle,leukemia,True,,https://doi.org/10.1016/j.ejphar.2004.08.053,caveat:L1_literature_index;not_medical_advice;indexed_presence_is_not_efficacy;correlation_is_not_causation
epmc_med_15510617,"Conformal hypofractionated and accelerated radiotherapy with cytoprotection (HypoARC) for high risk prostatic carcinoma: rationale, technique and early experience.",Anticancer research,2004,clinical_trial,15510617,pmid,True,POINTER_ONLY,oxidative_stress_redox,prostate,True,,https://europepmc.org/abstract/MED/15510617,caveat:L1_literature_index;not_medical_advice;indexed_presence_is_not_efficacy;correlation_is_not_causation
epmc_med_15601532,Genome-wide characterisation of the binding repertoire of small molecule drugs,Human Genomics,2003,observational,10.1186/1479-7364-1-1-41,doi,True,POINTER_ONLY,,,True,,https://doi.org/10.1186/1479-7364-1-1-41,caveat:L1_literature_index;not_medical_advice;indexed_presence_is_not_efficacy;correlation_is_not_causation
epmc_med_15623462,"Pilot Study: Effect of 3,3′-Diindolylmethane Supplements on Urinary Hormone Metabolites in Postmenopausal Women With a History of Early-Stage Breast Cancer",Nutrition and Cancer,2004,rct,10.1207/s15327914nc5002_5,doi,True,POINTER_ONLY,,breast,True,,https://doi.org/10.1207/s15327914nc5002_5,caveat:L1_literature_index;not_medical_advice;indexed_presence_is_not_efficacy;correlation_is_not_causation
epmc_med_15661811,"3,3'-Diindolylmethane inhibits angiogenesis and the growth of transplantable human breast carcinoma in athymic mice",Carcinogenesis,2005,observational,10.1093/carcin/bgi018,doi,True,POINTER_ONLY,p53_apoptosis_cell_cycle|perfusion_vascular_hypoxia,breast,True,,https://doi.org/10.1093/carcin/bgi018,caveat:L1_literature_index;not_medical_advice;indexed_presence_is_not_efficacy;correlation_is_not_causation
epmc_med_15841080,Phase I and pharmacokinetic study of the novel chemoprotector BNP7787 in combination with cisplatin and attempt to eliminate the hydration schedule,British Journal of Cancer,2005,clinical_trial,10.1038/sj.bjc.6602553,doi,True,POINTER_ONLY,dna_damage_parp|herb_drug_interaction_cyp_pgp|spike_vaccine_cancer_signal,,True,,https://doi.org/10.1038/sj.bjc.6602553,caveat:L1_literature_index;not_medical_advice;indexed_presence_is_not_efficacy;correlation_is_not_causation
epmc_med_15855885,Urinary 6-sulfatoxymelatonin excretion in humans during domestic exposure to 50 hertz electromagnetic fields.,Neuro endocrinology letters,2005,rct,15855885,pmid,True,POINTER_ONLY,,,True,,https://europepmc.org/abstract/MED/15855885,caveat:L1_literature_index;not_medical_advice;indexed_presence_is_not_efficacy;correlation_is_not_causation
epmc_med_15896867,Optimising two-dye microarray designs for estimating associations with a quantitative trait,Journal of Biotechnology,2005,observational,10.1016/j.jbiotec.2005.02.016,doi,True,POINTER_ONLY,,,True,,https://doi.org/10.1016/j.jbiotec.2005.02.016,caveat:L1_literature_index;not_medical_advice;indexed_presence_is_not_efficacy;correlation_is_not_causation
epmc_med_15905851,Activation of IKK by thymosin α1 requires the TRAF6 signalling pathway,The EMBO Reports,2005,observational,10.1038/sj.embor.7400433,doi,True,POINTER_ONLY,oxidative_stress_redox,,True,,https://doi.org/10.1038/sj.embor.7400433,caveat:L1_literature_index;not_medical_advice;indexed_presence_is_not_efficacy;correlation_is_not_causation
epmc_med_15907879,Comparative binding of antitumor indazolium [trans-tetrachlorobis(1H-indazole)ruthenate(III)] to serum transport proteins assayed by capillary zone electrophoresis,Analytical Biochemistry,2005,observational,10.1016/j.ab.2005.03.020,doi,True,POINTER_ONLY,,,True,,https://doi.org/10.1016/j.ab.2005.03.020,caveat:L1_literature_index;not_medical_advice;indexed_presence_is_not_efficacy;correlation_is_not_causation
epmc_med_15990956,Dual role of endogenous nitric oxide in tumor necrosis factor shock: induced NO tempers oxidative stress,Cellular and Molecular Life Sciences,2005,observational,10.1007/s00018-005-5142-z,doi,True,POINTER_ONLY,oxidative_stress_redox,,True,,https://doi.org/10.1007/s00018-005-5142-z,caveat:L1_literature_index;not_medical_advice;indexed_presence_is_not_efficacy;correlation_is_not_causation
epmc_med_16061551,Complementary therapy and genital warts,Sexually Transmitted Infections,2005,rct,10.1136/sti.2004.013912,doi,True,POINTER_ONLY,,,False,,https://doi.org/10.1136/sti.2004.013912,caveat:L1_literature_index;not_medical_advice;indexed_presence_is_not_efficacy;correlation_is_not_causation
epmc_med_16077972,Combination of betulinic acid with cisplatin - different cytotoxic effects in two head and neck cancer cell lines,Oncology Reports,2005,observational,10.3892/or.14.3.667,doi,True,VERIFIED,herb_drug_interaction_cyp_pgp|p53_apoptosis_cell_cycle,head_neck|melanoma,True,,https://doi.org/10.3892/or.14.3.667,caveat:L1_literature_index;not_medical_advice;indexed_presence_is_not_efficacy;correlation_is_not_causation
epmc_med_16159769,"Drug-Lipid A Interactions on the
            <i>Escherichia coli</i>
            ABC Transporter MsbA",Journal of Bacteriology,2005,international_literature,10.1128/jb.187.18.6363-6369.2005,doi,True,POINTER_ONLY,,,True,,https://doi.org/10.1128/jb.187.18.6363-6369.2005,caveat:L1_literature_index;not_medical_advice;indexed_presence_is_not_efficacy;correlation_is_not_causation
epmc_med_16221754,EFFECT OF MILK THISTLE (SILYBUM MARIANUM) AND BLACK COHOSH (CIMICIFUGA RACEMOSA) SUPPLEMENTATION ON DIGOXIN PHARMACOKINETICS IN HUMANS,Drug Metabolism and Disposition,2006,rct,10.1124/dmd.105.006312,doi,True,POINTER_ONLY,herb_drug_interaction_cyp_pgp,,True,,https://doi.org/10.1124/dmd.105.006312,caveat:L1_literature_index;not_medical_advice;indexed_presence_is_not_efficacy;correlation_is_not_causation
epmc_med_16334146,Perioperative application of the Viscum album extract Isorel in digestive tract cancer patients.,Anticancer research,2005,rct,16334146,pmid,True,POINTER_ONLY,,colorectal|pancreatic,True,,https://europepmc.org/abstract/MED/16334146,caveat:L1_literature_index;not_medical_advice;indexed_presence_is_not_efficacy;correlation_is_not_causation
epmc_med_16380095,"3,3′-Diindolylmethane downregulates pro-survival pathway in hormone independent prostate cancer",Biochemical and Biophysical Research Communications,2006,observational,10.1016/j.bbrc.2005.12.059,doi,True,POINTER_ONLY,oxidative_stress_redox,prostate,True,,https://doi.org/10.1016/j.bbrc.2005.12.059,caveat:L1_literature_index;not_medical_advice;indexed_presence_is_not_efficacy;correlation_is_not_causation
epmc_med_16464799,Percutaneous laser ablation in patients with isolated unresectable liver metastases from colorectal cancer: Results of a phase II study,Acta Oncologica,2006,clinical_trial,10.1080/02841860500438029,doi,True,POINTER_ONLY,oxidative_stress_redox,colorectal,True,,https://doi.org/10.1080/02841860500438029,caveat:L1_literature_index;not_medical_advice;indexed_presence_is_not_efficacy;correlation_is_not_causation
epmc_med_16478651,Higher activity of polymorphic NAD(P)H:quinone oxidoreductase in liver cytosols from blacks compared to whites,Toxicology Letters,2006,observational,10.1016/j.toxlet.2006.01.004,doi,True,POINTER_ONLY,,,True,,https://doi.org/10.1016/j.toxlet.2006.01.004,caveat:L1_literature_index;not_medical_advice;indexed_presence_is_not_efficacy;correlation_is_not_causation
